response;CO2;Nutrients;Species;comp;expt
0,131;180;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
-1,392;180;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
1,166;180;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
1,135;180;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
2,818;180;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
5,236;240;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
1,139;240;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
1,370;240;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
0,084;240;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
5,182;240;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
8,233;300;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
3,556;300;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
-0,010;300;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
-0,081;300;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
-0,009;300;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
8,233;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
3,556;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
-0,010;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;2
14,612;180;50%Long Ashton;O,punctata;Photosynthetic rate;1
9,660;180;50%Long Ashton;O,punctata;Photosynthetic rate;1
11,109;180;50%Long Ashton;O,punctata;Photosynthetic rate;1
16,902;280;50%Long Ashton;O,punctata;Photosynthetic rate;1
14,558;280;50%Long Ashton;O,punctata;Photosynthetic rate;1
20,515;280;50%Long Ashton;O,punctata;Photosynthetic rate;1
20,761;400;50%Long Ashton;O,punctata;Photosynthetic rate;1
25,236;400;50%Long Ashton;O,punctata;Photosynthetic rate;1
27,402;400;50%Long Ashton;O,punctata;Photosynthetic rate;1
14,975;180;100%Long Ashton;O,punctata;Photosynthetic rate;1
9,831;180;100%Long Ashton;O,punctata;Photosynthetic rate;1
11,109;180;100%Long Ashton;O,punctata;Photosynthetic rate;1
16,902;280;100%Long Ashton;O,punctata;Photosynthetic rate;1
14,558;280;100%Long Ashton;O,punctata;Photosynthetic rate;1
20,515;280;100%Long Ashton;O,punctata;Photosynthetic rate;1
20,761;400;100%Long Ashton;O,punctata;Photosynthetic rate;1
25,236;400;100%Long Ashton;O,punctata;Photosynthetic rate;1
27,402;400;100%Long Ashton;O,punctata;Photosynthetic rate;1
0,005;180;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,000;180;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,043;180;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,042;180;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,105;180;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,146;240;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,032;240;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,038;240;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,002;240;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,145;240;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,184;300;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,079;300;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,000;300;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,000;300;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,000;300;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,184;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,079;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,000;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;2
0,544;180;50%Long Ashton;O,punctata;Stomatal conductance;1
0,359;180;50%Long Ashton;O,punctata;Stomatal conductance;1
0,413;180;50%Long Ashton;O,punctata;Stomatal conductance;1
0,404;280;50%Long Ashton;O,punctata;Stomatal conductance;1
0,348;280;50%Long Ashton;O,punctata;Stomatal conductance;1
0,491;280;50%Long Ashton;O,punctata;Stomatal conductance;1
0,348;400;50%Long Ashton;O,punctata;Stomatal conductance;1
0,423;400;50%Long Ashton;O,punctata;Stomatal conductance;1
0,459;400;50%Long Ashton;O,punctata;Stomatal conductance;1
0,557;180;100%Long Ashton;O,punctata;Stomatal conductance;1
0,366;180;100%Long Ashton;O,punctata;Stomatal conductance;1
0,413;180;100%Long Ashton;O,punctata;Stomatal conductance;1
0,404;280;100%Long Ashton;O,punctata;Stomatal conductance;1
0,348;280;100%Long Ashton;O,punctata;Stomatal conductance;1
0,491;280;100%Long Ashton;O,punctata;Stomatal conductance;1
0,348;400;100%Long Ashton;O,punctata;Stomatal conductance;1
0,423;400;100%Long Ashton;O,punctata;Stomatal conductance;1
0,459;400;100%Long Ashton;O,punctata;Stomatal conductance;1
1,724;180;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
52,467;180;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
40,189;180;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
42,859;180;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
30,247;180;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
19,153;240;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
44,056;240;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
60,482;240;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
88,498;240;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
22,306;240;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
11,410;300;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
24,508;300;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
104,192;300;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
71,926;300;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
103,594;300;100%Long Ashton;O,pes-caprae;Stomatal limitation;2
29,285;180;50%Long Ashton;O,punctata;Stomatal limitation;1
36,558;180;50%Long Ashton;O,punctata;Stomatal limitation;1
29,932;180;50%Long Ashton;O,punctata;Stomatal limitation;1
25,941;280;50%Long Ashton;O,punctata;Stomatal limitation;1
28,465;280;50%Long Ashton;O,punctata;Stomatal limitation;1
14,811;280;50%Long Ashton;O,punctata;Stomatal limitation;1
19,237;400;50%Long Ashton;O,punctata;Stomatal limitation;1
12,212;400;50%Long Ashton;O,punctata;Stomatal limitation;1
18,434;400;50%Long Ashton;O,punctata;Stomatal limitation;1
27,529;180;100%Long Ashton;O,punctata;Stomatal limitation;1
35,436;180;100%Long Ashton;O,punctata;Stomatal limitation;1
29,932;180;100%Long Ashton;O,punctata;Stomatal limitation;1
25,941;280;100%Long Ashton;O,punctata;Stomatal limitation;1
28,465;280;100%Long Ashton;O,punctata;Stomatal limitation;1
14,811;280;100%Long Ashton;O,punctata;Stomatal limitation;1
19,237;400;100%Long Ashton;O,punctata;Stomatal limitation;1
12,212;400;100%Long Ashton;O,punctata;Stomatal limitation;1
18,434;400;100%Long Ashton;O,punctata;Stomatal limitation;1
6,413;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;3
10,260;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,876;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,094;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,111;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
9,623;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
5,973;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,111;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,482;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
7,626;400;50%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,726;400;50%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,587;400;50%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,028;400;50%Long Ashton;O,pes-caprae;Photosynthetic rate;3
14,127;400;100%Long Ashton;O,pes-caprae;Stomatal limitation;3
13,232;400;100%Long Ashton;O,pes-caprae;Stomatal limitation;3
22,519;400;100%Long Ashton;O,pes-caprae;Stomatal limitation;3
17,096;400;100%Long Ashton;O,pes-caprae;Stomatal limitation;3
-10,138;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
19,568;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
98,049;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
23,330;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
17,577;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
12,657;400;50%Long Ashton;O,pes-caprae;Stomatal limitation;3
10,866;400;50%Long Ashton;O,pes-caprae;Stomatal limitation;3
16,442;400;50%Long Ashton;O,pes-caprae;Stomatal limitation;3
9,800;400;50%Long Ashton;O,pes-caprae;Stomatal limitation;3
0,107;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,172;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,115;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,102;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,102;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,161;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,100;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,102;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,109;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,128;400;50%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,113;400;50%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,110;400;50%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,101;400;50%Long Ashton;O,pes-caprae;Stomatal conductance;3
