Vegetation Type;BOUT ID;Date;Start;Species;Total grams per 30 min bout;Foragers;Grams/Forager Hr;Kcal/g;Source;n;return(400);return(300);return(240);return(180)
Dune fynbos-thicket mos.;376;03 September 2016;0,479861111;Pelargonium triste;308;2;308.1;0.6182;Sp;3;190;145,0722809;114,6208352;81,54827903
Dune fynbos-thicket mos.;376;03 September 2016;0,479861111;Satyrium carneum;309;2;308.4;0.1544;Gen;1;48;36,64983938;28,95684259;20,60167049
Dune fynbos-thicket mos.;380;03 September 2016;0,36875;Chasmanthe aethiopica;73;2;72.6;0.472;Sp;1;34;25,96030289;20,51109683;14,59284993
Dune fynbos-thicket mos.;380;03 September 2016;0,36875;Ferraria crispa;27;1;54.4;0.7472;Sp;1;41;31,30507113;24,73396971;17,59726021
Dune fynbos-thicket mos.;380;03 September 2016;0,36875;Osyris compressa;1;1;0.9;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;387;17 October 2016;0,461111111;Chasmanthe aethiopica;41;1;81.6;0.4720;Sp;1;39;29,77799449;23,5274346;16,73885727
Dune fynbos-thicket mos.;387;17 October 2016;0,461111111;Grewia occidentalis;5;1;9.1;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;387;17 October 2016;0,461111111;Muraltia spinosa;37;2;36.3;0.2666;Sp;1;10;7,635383203;6,032675539;4,292014686
Dune fynbos-thicket mos.;387;17 October 2016;0,461111111;Osyris compressa;5;1;9.1;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;387;17 October 2016;0,461111111;Othonna undulosa;136;2;136.1;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;388;17 October 2016;0,495833333;Muraltia spinosa;449;2;449.1;0.2666;Sp;1;120;91,62459844;72,39210647;51,50417623
Dune fynbos-thicket mos.;389;17 October 2016;0,529861111;Microloma sagittatum;27;2;27.2;0.6006;Sp;1;16;12,21661313;9,652280863;6,867223497
Dune fynbos-thicket mos.;389;17 October 2016;0,529861111;Pelargonium lobatum;309;2;308.4;0.3280;Sp;1;101;77,11737035;60,93002295;43,34934832
Dune fynbos-thicket mos.;389;17 October 2016;0,529861111;Pelargonium triste;27;1;54.4;0.6182;Sp;3;34;25,96030289;20,51109683;14,59284993
Dune fynbos-thicket mos.;392;17 October 2016;0,352083333;Conicosia pugioniformis;1756;2;1755.4;0.1558;Sp;1;273;208,4459615;164,6920422;117,1720009
Dune fynbos-thicket mos.;392;17 October 2016;0,352083333;Osteospermum monilifera;18;2;18.1;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;393;17 October 2016;0,378472222;Osteospermum monilifera;164;2;163.3;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;409;09 November 2016;0,44375;Babiana sp;5;1;9.1;1.0239;Gen;3;9;6,871844883;5,429407985;3,862813217
Dune fynbos-thicket mos.;409;09 November 2016;0,44375;Ferraria crispa;32;1;63.5;0.7472;Sp;1;47;35,88630106;28,35357503;20,17246902
Dune fynbos-thicket mos.;409;09 November 2016;0,44375;Pelargonium lobatum;617;2;616.9;0.3280;Sp;1;202;154,2347407;121,8600459;86,69869665
Dune fynbos-thicket mos.;409;09 November 2016;0,44375;Pelargonium triste;658;2;657.7;0.6182;Sp;3;407;310,7600964;245,5298944;174,6849977
Dune fynbos-thicket mos.;410;09 November 2016;0,475;Muraltia spinosa;213;2;213.2;0.2666;Sp;1;57;43,52168426;34,38625057;24,46448371
Dune fynbos-thicket mos.;415;09 November 2016;0,411805556;Conicosia pugioniformis;554;2;553.4;0.1558;Sp;1;86;65,66429555;51,88100964;36,9113263
Dune fynbos-thicket mos.;430;05 December 2016;0,430555556;Zero;0;2;0;0;Sp;1;0;0;0;0
Dune fynbos-thicket mos.;431;05 December 2016;0,45625;Conicosia pugioniformis;46;1;90.7;0.1558;Sp;1;14;10,68953648;8,445745755;6,00882056
Dune fynbos-thicket mos.;431;05 December 2016;0,45625;Searsia lucida;27;2;27.2;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;435;06 December 2016;0,438194444;Carpobrotus acinaciformis;380;2;379.9;0.6408;Sp;1;243;185,5398118;146,5940156;104,2959569
Dune fynbos-thicket mos.;435;06 December 2016;0,438194444;Carpobrotus edulis;2545;2;2544.7;0.2555;Sp;1;650;496,2999082;392,1239101;278,9809546
Dune fynbos-thicket mos.;435;06 December 2016;0,438194444;Carpobrotus sp;0;1;0;0.4482;Gen;2;0;0;0;0
Dune fynbos-thicket mos.;439;06 December 2016;0,634027778;Tetragonia decumbens;1125;2;1124.9;0.0830;Sp;1;93;71,00906379;56,10388251;39,91573658
Dune fynbos-thicket mos.;449;08 December 2016;0,547916667;Carpobrotus acinaciformis;55;2;55.2;0.6408;Sp;1;35;26,72384121;21,11436439;15,0220514
Dune fynbos-thicket mos.;449;08 December 2016;0,547916667;Cyphia digitata;27;1;54.4;0.2978;Sp;1;16;12,21661313;9,652280863;6,867223497
Subtropical thicket;7;14 December 2014;0,430555556;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;14;15 January 2015;0,635416667;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;58;29 May 2015;0,477777778;Schotia afra;17;2;16.6;0.2463;Sp;1;4;3,054153281;2,413070216;1,716805874
Subtropical thicket;59;29 May 2015;0,547916667;Schotia afra;784;2;784.2;0.2463;Sp;1;193;147,3628958;116,4306379;82,83588343
Subtropical thicket;60;29 May 2015;0,584722222;Schotia afra;186;2;185.6;0.2463;Sp;1;46;35,12276274;27,75030748;19,74326755
Subtropical thicket;61;29 May 2015;0,3625;Schotia afra;208;2;208.2;0.2463;Sp;1;51;38,94045434;30,76664525;21,8892749
Subtropical thicket;62;29 May 2015;0,384722222;Schotia afra;707;2;706.8;0.2463;Sp;1;174;132,8556677;104,9685544;74,68105553
Subtropical thicket;81;19 June 2015;0,589583333;Schotia afra;306;2;306.2;0.2463;Sp;1;75;57,26537402;45,24506654;32,19011014
Subtropical thicket;82;19 June 2015;0,629861111;Schotia afra;10;2;9.5;0.2463;Sp;1;2;1,527076641;1,206535108;0,858402937
Subtropical thicket;88;08 July 2015;0,490972222;Schotia afra;250;2;249.5;0.2463;Sp;1;61;46,57583754;36,79932079;26,18128958
Subtropical thicket;89;08 July 2015;0,522222222;Schotia afra;381;2;381.0;0.2463;Sp;1;94;71,77260211;56,70715007;40,34493804
Subtropical thicket;121;02 September 2015;0,6125;Schotia afra;19;2;19.1;0.2463;Sp;1;5;3,817691602;3,01633777;2,146007343
Subtropical thicket;122;02 September 2015;0,646527778;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;125;09 September 2015;0,432638889;Schotia afra;75;2;74.8;0.2463;Sp;1;18;13,74368977;10,85881597;7,725626434
Subtropical thicket;134;07 October 2015;0,430555556;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;136;07 October 2015;0,584722222;Microloma sagittatum;43;2;43.1;0.6006;Sp;1;26;19,85199633;15,6849564;11,15923818
Subtropical thicket;136;07 October 2015;0,584722222;Schotia afra;127;2;127.0;0.2463;Sp;1;31;23,66968793;18,70129417;13,30524553
Subtropical thicket;137;07 October 2015;0,397916667;Cynanchum obtusifolium;42;2;42.2;0.7343;Sp;1;31;23,66968793;18,70129417;13,30524553
Subtropical thicket;137;07 October 2015;0,397916667;Diospyros dichrophylla;5;1;9.1;NA;NA;NA;0;0;0;0
Subtropical thicket;137;07 October 2015;0,397916667;Euclea racemosa;21;2;20.4;NA;NA;NA;0;0;0;0
Subtropical thicket;137;07 October 2015;0,397916667;Osteospermum monilifera;3;1;6.4;NA;NA;NA;0;0;0;0
Subtropical thicket;137;07 October 2015;0,397916667;Osyris compressa;4;1;7.3;NA;NA;NA;0;0;0;0
Subtropical thicket;137;07 October 2015;0,397916667;Pelargonium triste;23;1;45.4;0.6182;Sp;3;28;21,37907297;16,89149151;12,01764112
Subtropical thicket;152;10 November 2015;0,615972222;Albuca juncifolia subsp juncifolia;14;1;27.2;NA;NA;NA;0;0;0;0
Subtropical thicket;152;10 November 2015;0,615972222;Ornithogalum dubium;27;2;27.2;NA;NA;NA;0;0;0;0
Subtropical thicket;156;11 November 2015;0,523611111;Babiana ambigua;3;1;4.5;1.0744;Sp;1;5;3,817691602;3,01633777;2,146007343
Subtropical thicket;156;11 November 2015;0,523611111;Ferraria crispa;18;1;36.3;0.7472;Sp;1;27;20,61553465;16,28822396;11,58843965
Subtropical thicket;156;11 November 2015;0,523611111;Microloma sagittatum;59;2;58.5;0.6006;Sp;1;35;26,72384121;21,11436439;15,0220514
Subtropical thicket;156;11 November 2015;0,523611111;Pelargonium carneum;25;2;24.9;0.4779;Gen;6;12;9,162459844;7,239210647;5,150417623
Subtropical thicket;157;11 November 2015;0,58125;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;158;11 November 2015;0,60625;Microloma sagittatum;4;1;8.2;0.6006;Sp;1;5;3,817691602;3,01633777;2,146007343
Subtropical thicket;158;11 November 2015;0,60625;Zero;0;1;0;0;Sp;1;0;0;0;0
Subtropical thicket;180;10 December 2015;0,484722222;Albuca juncifolia subsp juncifolia;18;2;18.1;NA;NA;NA;0;0;0;0
Subtropical thicket;181;10 December 2015;0,554166667;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;182;10 December 2015;0,60625;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;203;21 January 2016;0,470138889;Colpoon compressum;96;2;95.3;NA;NA;NA;0;0;0;0
Subtropical thicket;204;21 January 2016;0,510416667;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;206;21 January 2016;0,60625;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;208;22 February 2016;0,434027778;Carpobrotus acinaciformis;14;2;14.1;0.6408;Sp;1;9;6,871844883;5,429407985;3,862813217
Subtropical thicket;211;22 February 2016;0,650694444;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;216;23 February 2016;0,349305556;Schotia afra;52;2;51.4;0.2463;Sp;1;13;9,925998164;7,842478201;5,579619091
Subtropical thicket;217;23 February 2016;0,390972222;Schotia afra;18;2;17.8;0.2463;Sp;1;4;3,054153281;2,413070216;1,716805874
Subtropical thicket;230;08 March 2016;0,454861111;Carpobrotus acinaciformis;32;2;31.7;0.6408;Sp;1;20;15,27076641;12,06535108;8,584029371
Subtropical thicket;231;08 March 2016;0,508333333;Sideroxylon inerme;275;2;274.4;0.9953;Sp;1;273;208,4459615;164,6920422;117,1720009
Subtropical thicket;232;08 March 2016;0,552083333;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;240;10 March 2016;0,577777778;Carissa bispinosa;1107;2;1106.8;0.4156;Gen;1;460;351,2276274;277,5030748;197,4326755
Subtropical thicket;253;05 April 2016;0,616666667;Schotia afra;259;2;258.5;0.2463;Sp;1;64;48,8664525;38,60912345;27,46889399
Subtropical thicket;258;06 April 2016;0,385416667;Carpobrotus acinaciformis;14;2;13.6;0.6408;Sp;1;9;6,871844883;5,429407985;3,862813217
Subtropical thicket;258;06 April 2016;0,385416667;Schotia afra;243;2;242.5;0.2463;Sp;1;60;45,81229922;36,19605324;25,75208811
Subtropical thicket;258;06 April 2016;0,385416667;Sideroxylon inerme;14;2;13.6;0.9953;Sp;1;14;10,68953648;8,445745755;6,00882056
Subtropical thicket;265;08 April 2016;0,501388889;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;278;11 May 2016;0,492361111;Cyphia digitata;57;1;113.4;0.2978;Sp;1;34;25,96030289;20,51109683;14,59284993
Subtropical thicket;278;11 May 2016;0,492361111;Pelargonium rapaceum;7;1;13.6;0.3424;Sp;2;5;3,817691602;3,01633777;2,146007343
Subtropical thicket;281;12 May 2016;0,454166667;Carissa bispinosa;16;2;15.9;0.4156;Gen;1;7;5,344768242;4,222872877;3,00441028
Subtropical thicket;281;12 May 2016;0,454166667;Cyphia digitata;37;2;36.3;0.2978;Sp;1;11;8,398921524;6,635943093;4,721216154
Subtropical thicket;281;12 May 2016;0,454166667;Euclea racemosa;27;2;27.2;NA;NA;NA;0;0;0;0
Subtropical thicket;281;12 May 2016;0,454166667;Oxalis pes-caprae;5;1;9.1;0.3206;Gen;1;3;2,290614961;1,809802662;1,287604406
Subtropical thicket;281;12 May 2016;0,454166667;Schotia afra;6;2;5.9;0.2463;Sp;1;1;0,76353832;0,603267554;0,429201469
Subtropical thicket;284;12 May 2016;0,609722222;Schotia afra;147;2;146.4;0.2463;Sp;1;36;27,48737953;21,71763194;15,45125287
Subtropical thicket;308;16 June 2016;0,588888889;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;323;13 July 2016;0,447222222;Schotia afra;195;2;195.0;0.2463;Sp;1;48;36,64983938;28,95684259;20,60167049
Subtropical thicket;395;18 October 2016;0,477777778;Cyphia digitata;127;2;127.0;0.2978;Sp;1;38;29,01445617;22,92416705;16,30965581
Subtropical thicket;395;18 October 2016;0,477777778;Ferraria crispa;182;2;181.4;0.7472;Sp;1;136;103,8412116;82,04438733;58,37139972
Subtropical thicket;396;18 October 2016;0,513194444;Cyphia digitata;223;2;222.3;0.2978;Sp;1;66;50,39352914;39,81565856;28,32729693
Subtropical thicket;406;20 October 2016;0,5125;Zero;0;2;0;0;Sp;1;0;0;0;0
Subtropical thicket;426;11 November 2016;0,563888889;Freesia sp;127;2;127.0;NA;NA;NA;0;0;0;0
Subtropical thicket;427;11 November 2016;0,601388889;Freesia sp;159;2;158.8;NA;NA;NA;0;0;0;0
Subtropical thicket;429;11 November 2016;0,390277778;Freesia leichtlinii;37;2;36.3;NA;NA;NA;0;0;0;0
Subtropical thicket;436;06 December 2016;0,497916667;Carpobrotus acinaciformis;185;2;184.6;0.6408;Sp;1;118;90,0975218;71,18557136;50,64577329
Subtropical thicket;436;06 December 2016;0,497916667;Microloma sagittatum;32;1;63.5;0.6006;Sp;1;38;29,01445617;22,92416705;16,30965581
Subtropical thicket;436;06 December 2016;0,497916667;Osteospermum monilifera;14;1;27.2;NA;NA;NA;0;0;0;0
Subtropical thicket;436;06 December 2016;0,497916667;Sideroxylon inerme;27;1;54.4;0.9953;Sp;1;54;41,2310693;32,57644791;23,1768793
Subtropical thicket;444;07 December 2016;0,334027778;Carpobrotus edulis;2545;2;2544.7;0.2555;Sp;1;650;496,2999082;392,1239101;278,9809546
Subtropical thicket;445;07 December 2016;0,363888889;Babiana patula;68;2;68;1.0239;Gen;3;70;53,44768242;42,22872877;30,0441028
Subtropical thicket;445;07 December 2016;0,363888889;Diospyros dichrophylla;96;2;95.7;NA;NA;NA;0;0;0;0
Subtropical thicket;445;07 December 2016;0,363888889;Pelargonium rapaceum;37;1;72.6;0.3424;Sp;2;25;19,08845801;15,08168885;10,73003671
Subtropical thicket;451;08 December 2016;0,413888889;Carpobrotus acinaciformis;340;2;339.5;0.6408;Sp;1;218;166,4513538;131,5123268;93,56592015
Sand fynbos;11;16 December 2014;0,395833333;Leucospermum muirii;0;2;0;NA;NA;NA;0;0;0;0
Sand fynbos;11;16 December 2014;0,395833333;Osyris compressa;3;2;3.2;NA;NA;NA;0;0;0;0
Sand fynbos;15;15 January 2015;0,377083333;Watsonia fourcadei;185;2;185.1;0.4861;Sp;2;90;68,71844883;54,29407985;38,62813217
Sand fynbos;16;15 January 2015;0,402777778;Watsonia fourcadei;192;2;191.4;0.4861;Sp;2;93;71,00906379;56,10388251;39,91573658
Sand fynbos;25;12 February 2015;0,440972222;Zero;0;2;0;0;Sp;1;0;0;0;0
Sand fynbos;26;12 February 2015;0,474305556;Watsonia meriana;302;2;301.6;0.4546;Sp;1;137;104,6047499;82,64765489;58,80060119
Sand fynbos;27;12 February 2015;0,538194444;Watsonia fourcadei;428;2;427.9;0.4861;Sp;2;208;158,8159706;125,4796512;89,27390546
Sand fynbos;28;12 February 2015;0,560416667;Watsonia fourcadei;485;2;484.9;0.4861;Sp;2;236;180,1950436;142,3711427;101,2915466
Sand fynbos;46;26 March 2015;0,504166667;Zero;0;2;0;0;Sp;1;0;0;0;0
Sand fynbos;55;28 May 2015;0,434722222;Protea susannae;0;2;0;NA;NA;NA;0;0;0;0
Sand fynbos;56;28 May 2015;0,472916667;Protea repens;0;2;0;NA;NA;NA;0;0;0;0
Sand fynbos;83;20 June 2015;0,470138889;Watsonia fourcadei;100;2;100.2;0.4861;Sp;2;49;37,4133777;29,56011014;21,03087196
Sand fynbos;84;20 June 2015;0,497916667;Watsonia fourcadei;56;2;55.3;0.4861;Sp;2;27;20,61553465;16,28822396;11,58843965
Sand fynbos;103;13 July 2015;0,504861111;Freesia caryophyllacea;20;2;20;NA;NA;NA;0;0;0;0
Sand fynbos;103;13 July 2015;0,504861111;Pelargonium lobatum;47;1;92.5;0.328;Sp;1;30;22,90614961;18,09802662;12,87604406
Sand fynbos;104;13 July 2015;0,581944444;Watsonia meriana;81;2;80.3;0.4546;Sp;1;37;28,25091785;22,3208995;15,88045434
Sand fynbos;105;13 July 2015;0,611111111;Babiana patula;46;2;45.8;1.0239;Gen;3;47;35,88630106;28,35357503;20,17246902
Sand fynbos;107;24 August 2015;0,467361111;Babiana ambigua;25;2;24.9;1.0744;Sp;1;27;20,61553465;16,28822396;11,58843965
Sand fynbos;107;24 August 2015;0,467361111;Freesia alba;7;1;13.6;NA;NA;NA;0;0;0;0
Sand fynbos;107;24 August 2015;0,467361111;Microloma sagittatum;14;1;27.2;0.6006;Sp;1;16;12,21661313;9,652280863;6,867223497
Sand fynbos;108;24 August 2015;0,595833333;Osyris compressa;1;1;1.8;NA;NA;NA;0;0;0;0
Sand fynbos;108;24 August 2015;0,595833333;Protea obtusifolia;0;1;0;NA;NA;NA;0;0;0;0
Sand fynbos;108;24 August 2015;0,595833333;Protea repens;0;1;0;NA;NA;NA;0;0;0;0
Sand fynbos;128;06 October 2015;0,425;Albuca juncifolia subsp juncifolia;30;2;29.5;NA;NA;NA;0;0;0;0
Sand fynbos;128;06 October 2015;0,425;Babiana sp;18;1;36.3;1.0239;Gen;3;37;28,25091785;22,3208995;15,88045434
Sand fynbos;128;06 October 2015;0,425;Disa bracteata;1;1;0.9;NA;NA;NA;0;0;0;0
Sand fynbos;128;06 October 2015;0,425;Ferraria crispa;27;1;54.4;0.7472;Sp;1;41;31,30507113;24,73396971;17,59726021
Sand fynbos;128;06 October 2015;0,425;Othonna undulosa;9;1;18.1;NA;NA;NA;0;0;0;0
Sand fynbos;128;06 October 2015;0,425;Pelargonium triste;14;1;27.2;0.6182;Sp;3;17;12,98015145;10,25554842;7,296424966
Sand fynbos;128;06 October 2015;0,425;Searsia lucida;36;1;70.8;NA;NA;NA;0;0;0;0
Sand fynbos;129;06 October 2015;0,459722222;Othonna undulosa;9;1;18.1;NA;NA;NA;0;0;0;0
Sand fynbos;129;06 October 2015;0,459722222;Pelargonium triste;21;1;40.8;0.6182;Sp;3;25;19,08845801;15,08168885;10,73003671
Sand fynbos;130;06 October 2015;0,511111111;Pelargonium triste;617;2;616.9;0.6182;Sp;3;381;290,9081;229,844938;163,5257595
Sand fynbos;131;06 October 2015;0,614583333;Albuca juncifolia subsp juncifolia;14;2;13.6;NA;NA;NA;0;0;0;0
Sand fynbos;131;06 October 2015;0,614583333;Pelargonium triste;261;2;260.8;0.6182;Sp;3;161;122,9296696;97,12607618;69,10143644
Sand fynbos;132;06 October 2015;0,64375;Albuca juncifolia subsp juncifolia;5;1;9.1;NA;NA;NA;0;0;0;0
Sand fynbos;132;06 October 2015;0,64375;Pelargonium triste;479;2;478.5;0.6182;Sp;3;296;226,0073428;178,567196;127,0436347
Sand fynbos;138;08 October 2015;0,652083333;Watsonia fourcadei;150;2;149.7;0.4861;Sp;2;73;55,73829738;44,03853144;31,33170721
Sand fynbos;139;08 October 2015;0,6625;Watsonia fourcadei;669;2;669.0;0.4861;Sp;2;325;248,1499541;196,061955;139,4904773
Sand fynbos;143;09 November 2015;0,425694444;Pelargonium triste;68;1;136.1;0.6182;Sp;3;84;64,13721891;50,67447453;36,05292336
Sand fynbos;143;09 November 2015;0,425694444;Watsonia fourcadei;277;2;276.7;0.4861;Sp;2;135;103,0776732;81,44111978;57,94219826
Sand fynbos;144;09 November 2015;0,436111111;Zero;0;2;0;0;Sp;1;0;0;0;0
Sand fynbos;145;09 November 2015;0,535416667;Watsonia fourcadei;579;2;578.3;0.4861;Sp;2;281;214,554268;169,5181827;120,6056127
Sand fynbos;146;09 November 2015;0,570138889;Pelargonium triste;719;2;718.9;0.6182;Sp;3;444;339,0110142;267,8507939;190,565452
Sand fynbos;147;09 November 2015;0,609027778;Zero;0;2;0;0;Sp;1;0;0;0;0
Sand fynbos;148;09 November 2015;0,3875;Pelargonium triste;3370;2;3370.2;0.6182;Sp;3;2084;1591,21386;1257,209582;894,4558605
Sand fynbos;168;08 December 2015;0,484027778;Pelargonium triste;420;2;419.6;0.6182;Sp;3;259;197,756425;156,2462965;111,1631804
Sand fynbos;171;08 December 2015;0,347916667;Chasmanthe aethiopica;184;2;183.7;0.4720;Sp;1;87;66,42783387;52,48427719;37,34052777
Sand fynbos;184;11 December 2015;0,458333333;Watsonia sp;579;2;578.3;0.5955;Gen;5;344;262,6571822;207,5240385;147,6453052
Sand fynbos;185;11 December 2015;0,368055556;Watsonia fourcadei;547;2;547.0;0.4861;Sp;2;266;203,1011932;160,4691693;114,1675906
Sand fynbos;186;11 December 2015;0,4125;Carpobrotus edulis;18;1;36.3;0.2555;Sp;1;9;6,871844883;5,429407985;3,862813217
Sand fynbos;186;11 December 2015;0,4125;Zero;0;1;0;0;Sp;1;0;0;0;0
Sand fynbos;193;19 January 2016;0,500694444;Zero;0;2;0;0;Sp;1;0;0;0;0
Sand fynbos;197;20 January 2016;0,438888889;Carpobrotus edulis;54;1;107.8;0.2555;Sp;1;28;21,37907297;16,89149151;12,01764112
Sand fynbos;197;20 January 2016;0,438888889;Cyrtanthus fergusoniae;177;2;176.9;NA;NA;NA;0;0;0;0
Sand fynbos;198;20 January 2016;0,474305556;Watsonia coccinea;928;2;927.6;0.5955;Gen;5;552;421,4731528;333,0036898;236,9192106
Sand fynbos;199;20 January 2016;0,563194444;Watsonia coccinea;338;2;337.9;0.5955;Gen;5;201;153,4712024;121,2567783;86,26949518
Sand fynbos;219;24 February 2016;0,483333333;Zero;0;1;0;0;Sp;1;0;0;0;0
Sand fynbos;220;24 February 2016;0,518055556;Watsonia fourcadei;382;2;382.2;0.4861;Sp;2;186;142,0181276;112,207765;79,83147315
Sand fynbos;226;25 February 2016;0,595138889;Conicosia pugioniformis;746;2;746.2;0.1558;Sp;1;116;88,57044516;69,97903626;49,78737035
Sand fynbos;234;09 March 2016;0,50625;Watsonia fourcadei;492;2;492.1;0.4861;Sp;2;239;182,4856586;144,1809454;102,579151
Sand fynbos;237;09 March 2016;0,404861111;Watsonia fourcadei;506;2;505.8;0.4861;Sp;2;246;187,8304268;148,4038183;105,5835613
Sand fynbos;256;06 April 2016;0,573611111;Searsia lucida;18;2;18.1;NA;NA;NA;0;0;0;0
Sand fynbos;257;06 April 2016;0,611111111;Watsonia fourcadei;699;2;698.5;0.4861;Sp;2;340;259,6030289;205,1109683;145,9284993
Sand fynbos;259;07 April 2016;0,445138889;Watsonia fourcadei;0;1;0;0.4861;Sp;2;0;0;0;0
Sand fynbos;259;07 April 2016;0,445138889;Zero;0;1;0;0;Sp;1;0;0;0;0
Sand fynbos;260;07 April 2016;0,494444444;Watsonia fourcadei;535;2;535.2;0.4861;Sp;2;260;198,5199633;156,849564;111,5923818
Sand fynbos;263;07 April 2016;0,398611111;Watsonia coccinea;381;2;381.0;0.5955;Gen;5;227;173,3231987;136,9417347;97,42873336
Sand fynbos;273;10 May 2016;0,475;Pelargonium triste;551;2;551.1;0.6182;Sp;3;341;260,3665672;205,7142359;146,3577008
Sand fynbos;274;10 May 2016;0,559027778;Watsonia cf fergusoniae;352;2;351.5;0.5955;Gen;5;209;159,5795089;126,0829188;89,70310693
Sand fynbos;287;13 May 2016;0,445138889;Typha capensis;525;2;524.7;0.0462;Sp;1;24;18,32491969;14,47842129;10,30083525
Sand fynbos;291;13 May 2016;0,415972222;Watsonia fourcadei;724;2;723.5;0.4861;Sp;2;352;268,7654888;212,350179;151,0789169
Sand fynbos;301;15 June 2016;0,454861111;Pelargonium triste;712;2;712.1;0.6182;Sp;3;440;335,9568609;265,4377237;188,8486462
