CO2S;Ci;Tleaf;Photo;Rep;;Rep;A @ Ca=180;A @ Ci=180;Stomatal limitation;Vcmax;Jmax;Rd;gs;;CO2S;Ci;Tleaf;Photo;Rep;;Rep;A @ Ca=280;A @ Ci=180;Stomatal limitation;Vcmax;Jmax;Rd;gs;;CO2S;Ci;Tleaf;Photo;Rep;;Rep;A @ Ca=400;A @ Ci=400;Stomatal limitation;Vcmax;Jmax;Rd;gs
400;50;20;0;7;;7;21,26;25,78;17,5329713;382,41;392,97;2,85;0,8;;400;50;20;0;4;;4;37,69;42,4;11,10849057;398,56;462,18;7,8;0,9;;400;50;20;3;1;;1;42,7;46,05;7,274701412;371,94;396,05;4,04;0,71
300;100;20;15;7;;8;17,36;22,29;22,1175415;307,25;353,24;12,77;0,64;;300;100;20;19;4;;5;23,67;27,39;13,58159912;309,1;327,74;11,86;0,56;;300;100;20;21;1;;2;39,15;42,45;7,77385159;358;379,79;6,04;0,66
200;200;20;27;7;;9;26,37;32,22;18,15642458;397,04;459,56;9,7;0,98;;200;200;20;36;4;;6;27,15;31,5;13,80952381;382,64;419,6;15,66;0,65;;200;200;20;36;1;;;;;;;;;
100;300;20;33;7;;10;31,28;36,95;15,34506089;379,77;436,45;3,5;1,16;;100;300;20;43;4;;;;;;;;;;;100;300;20;42;1;;;;;;;;;
50;400;20;36;7;;;;;;;;;;;50;400;20;47;4;;;;;;;;;;;50;400;20;46;1;;;;;;;;;
400;500;20;38;7;;;;;;;;;;;400;500;20;50;4;;;;;;;;;;;400;500;20;48;1;;;;;;;;;
500;600;20;40;7;;;;;;;;;;;500;600;20;52;4;;;;;;;;;;;500;600;20;50;1;;;;;;;;;
600;700;20;41;7;;;;;;;;;;;600;700;20;54;4;;;;;;;;;;;600;700;20;51;1;;;;;;;;;
700;800;20;41;7;;;;;;;;;;;700;800;20;55;4;;;;;;;;;;;700;800;20;52;1;;;;;;;;;
800;900;20;42;7;;;;;;;;;;;800;900;20;55;4;;;;;;;;;;;800;900;20;53;1;;;;;;;;;
900;1000;20;43;7;;;;;;;;;;;900;1000;20;56;4;;;;;;;;;;;900;1000;20;54;1;;;;;;;;;
400;50;20;-7;8;;;;;;;;;;;400;50;20;-6;5;;;;;;;;;;;400;50;20;1;2;;;;;;;;;
300;100;20;8;8;;;;;;;;;;;300;100;20;9;5;;;;;;;;;;;300;100;20;18;2;;;;;;;;;
200;200;20;24;8;;;;;;;;;;;200;200;20;23;5;;;;;;;;;;;200;200;20;32;2;;;;;;;;;
100;300;20;30;8;;;;;;;;;;;100;300;20;28;5;;;;;;;;;;;100;300;20;39;2;;;;;;;;;
50;400;20;33;8;;;;;;;;;;;50;400;20;31;5;;;;;;;;;;;50;400;20;42;2;;;;;;;;;
400;500;20;35;8;;;;;;;;;;;400;500;20;34;5;;;;;;;;;;;400;500;20;45;2;;;;;;;;;
500;600;20;37;8;;;;;;;;;;;500;600;20;35;5;;;;;;;;;;;500;600;20;46;2;;;;;;;;;
600;700;20;38;8;;;;;;;;;;;600;700;20;36;5;;;;;;;;;;;600;700;20;48;2;;;;;;;;;
700;800;20;39;8;;;;;;;;;;;700;800;20;37;5;;;;;;;;;;;700;800;20;49;2;;;;;;;;;
800;900;20;40;8;;;;;;;;;;;800;900;20;38;5;;;;;;;;;;;800;900;20;49;2;;;;;;;;;
900;1000;20;40;8;;;;;;;;;;;900;1000;20;38;5;;;;;;;;;;;900;1000;20;50;2;;;;;;;;;
400;50;20;-2;9;;;;;;;;;;;400;50;20;-8;6;;;;;;;;;;;;;;;;;;;;;;;;
300;100;20;17;9;;;;;;;;;;;300;100;20;10;6;;;;;;;;;;;;;;;;;;;;;;;;
200;200;20;34;9;;;;;;;;;;;200;200;20;25;6;;;;;;;;;;;;;;;;;;;;;;;;
100;300;20;41;9;;;;;;;;;;;100;300;20;32;6;;;;;;;;;;;;;;;;;;;;;;;;
50;400;20;45;9;;;;;;;;;;;50;400;20;36;6;;;;;;;;;;;;;;;;;;;;;;;;
400;500;20;48;9;;;;;;;;;;;400;500;20;39;6;;;;;;;;;;;;;;;;;;;;;;;;
500;600;20;50;9;;;;;;;;;;;500;600;20;41;6;;;;;;;;;;;;;;;;;;;;;;;;
600;700;20;51;9;;;;;;;;;;;600;700;20;42;6;;;;;;;;;;;;;;;;;;;;;;;;
700;800;20;53;9;;;;;;;;;;;700;800;20;43;6;;;;;;;;;;;;;;;;;;;;;;;;
800;900;20;53;9;;;;;;;;;;;800;900;20;44;6;;;;;;;;;;;;;;;;;;;;;;;;
900;1000;20;54;9;;;;;;;;;;;900;1000;20;44;6;;;;;;;;;;;;;;;;;;;;;;;;
400;50;20;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;100;20;22;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;200;20;38;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;300;20;46;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;400;20;50;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;500;20;52;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500;600;20;54;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600;700;20;56;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
700;800;20;57;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
800;900;20;57;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
900;1000;20;58;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
